"TNSMobileApp/dev","Enabled",2555,30,"DEEP_ARCHIVE"
"TNSTelcoms/backups","Enabled",2555,30,"DEEP_ARCHIVE"
"Rilive","Enabled",2555,21,"DEEP_ARCHIVE"
