"TNSMobileApp/dev","Enabled",2555
"TNSTelcoms/backups","Enabled",2555
"Rilive","Enabled",2555
"tugboat/prod/backups/AMAZONA-DA41N7J/","Enabled",3
"tugboat/prod/backups/AMAZONA-NAU3KI0/","Enabled",3
